kappa,bits,mode,grad_bits,seed,lr,steps,delta,rel_gap,best_rel_gap,passed_gate,w_err_inf,err_in_grid_steps,frozen_frac_tail,freeze_law_violations,shadow_sat_frac_max,threads,seconds
10.0,6,ef,,2,0.18181818181818182,3000,0.25806451612903225,0.020895332029224105,0.016485678613950602,False,0.3688119947910309,1.4291464798152447,0.490025,,0.0,4,9.35
10.0,4,rtn,,0,0.18181818181818182,3000,1.1428571428571428,0.12150068354024843,0.12150068354024843,False,1.1795185804367065,1.0320787578821182,1.0,0,0.0,4,7.86
10.0,4,rtn,,1,0.18181818181818182,3000,1.1428571428571428,0.12150068354024843,0.12150068354024843,False,1.1795185804367065,1.0320787578821182,1.0,0,0.0,4,10.53
10.0,4,rtn,,2,0.18181818181818182,3000,1.1428571428571428,0.12150068354024843,0.12150068354024843,False,1.1795185804367065,1.0320787578821182,1.0,0,0.0,4,7.17
10.0,4,sr,,0,0.18181818181818182,3000,1.1428571428571428,0.3351297417935648,0.27479760496134176,False,1.6942088603973389,1.4824327528476715,0.68296,,0.0,4,8.65
10.0,4,sr,,1,0.18181818181818182,3000,1.1428571428571428,0.3276404553833746,0.2683075561693882,False,1.9720206260681152,1.7255180478096008,0.6783100000000001,,0.0,4,8.75
10.0,4,sr,,2,0.18181818181818182,3000,1.1428571428571428,0.3032046798183124,0.27323904442214175,False,2.027590751647949,1.7741419076919556,0.6788550000000001,,0.0,4,9.91
10.0,4,ef,,0,0.18181818181818182,3000,1.1428571428571428,0.3741544099565337,0.3174529348057185,False,1.5295873880386353,1.3383889645338058,0.492025,,0.0,4,8.43
10.0,4,ef,,1,0.18181818181818182,3000,1.1428571428571428,0.3741544099565337,0.3174529348057185,False,1.5295873880386353,1.3383889645338058,0.492025,,0.0,4,8.4
10.0,4,ef,,2,0.18181818181818182,3000,1.1428571428571428,0.3741544099565337,0.3174529348057185,False,1.5295873880386353,1.3383889645338058,0.492025,,0.0,4,9.81
100.0,fp32,-,,0,0.019801980198019802,3000,,3.6519089865630865e-13,3.358695713650148e-13,True,7.3909759521484375e-06,,0.10371000000000001,,0.0,4,5.6
100.0,fp32,-,,1,0.019801980198019802,3000,,3.6519089865630865e-13,3.358695713650148e-13,True,7.3909759521484375e-06,,0.10371000000000001,,0.0,4,4.7
100.0,fp32,-,,2,0.019801980198019802,3000,,3.6519089865630865e-13,3.358695713650148e-13,True,7.3909759521484375e-06,,0.10371000000000001,,0.0,4,3.78
