distribution,spec,kind,bits,granularity,scale_mode,nrmse
gaussian,int3|row|dyadic/m2|nearest|absmax|ste=identity,int,3,row,dyadic/m2,0.334692
gaussian,int3|row|dyadic/m4|nearest|absmax|ste=identity,int,3,row,dyadic/m4,0.3344
gaussian,int3|block64|float|nearest|absmax|ste=identity,int,3,block64,float,0.251313
gaussian,int3|block64|pow2/ceil|nearest|absmax|ste=identity,int,3,block64,pow2/ceil,0.353606
gaussian,int3|block64|pow2/round|nearest|absmax|ste=identity,int,3,block64,pow2/round,0.278296
gaussian,int3|block64|dyadic/m2|nearest|absmax|ste=identity,int,3,block64,dyadic/m2,0.251338
gaussian,int3|block64|dyadic/m4|nearest|absmax|ste=identity,int,3,block64,dyadic/m4,0.251374
gaussian,int2|tensor|float|nearest|absmax|ste=identity,int,2,tensor,float,0.967309
gaussian,int2|tensor|pow2/ceil|nearest|absmax|ste=identity,int,2,tensor,pow2/ceil,0.999882
gaussian,int2|tensor|pow2/round|nearest|absmax|ste=identity,int,2,tensor,pow2/round,0.928861
gaussian,int2|tensor|dyadic/m2|nearest|absmax|ste=identity,int,2,tensor,dyadic/m2,0.978947
gaussian,int2|tensor|dyadic/m4|nearest|absmax|ste=identity,int,2,tensor,dyadic/m4,0.970894
gaussian,int2|row|float|nearest|absmax|ste=identity,int,2,row,float,0.869355
gaussian,int2|row|pow2/ceil|nearest|absmax|ste=identity,int,2,row,pow2/ceil,0.934386
gaussian,int2|row|pow2/round|nearest|absmax|ste=identity,int,2,row,pow2/round,0.928861
gaussian,int2|row|dyadic/m2|nearest|absmax|ste=identity,int,2,row,dyadic/m2,0.868881
gaussian,int2|row|dyadic/m4|nearest|absmax|ste=identity,int,2,row,dyadic/m4,0.869426
gaussian,int2|block64|float|nearest|absmax|ste=identity,int,2,block64,float,0.717768
gaussian,int2|block64|pow2/ceil|nearest|absmax|ste=identity,int,2,block64,pow2/ceil,0.917936
gaussian,int2|block64|pow2/round|nearest|absmax|ste=identity,int,2,block64,pow2/round,0.685736
gaussian,int2|block64|dyadic/m2|nearest|absmax|ste=identity,int,2,block64,dyadic/m2,0.716799
gaussian,int2|block64|dyadic/m4|nearest|absmax|ste=identity,int,2,block64,dyadic/m4,0.71764
gaussian,ternary|tensor|float|nearest|absmean|ste=identity,ternary,1.58,tensor,float,0.513792
gaussian,ternary|tensor|pow2/ceil|nearest|absmean|ste=identity,ternary,1.58,tensor,pow2/ceil,0.457489
gaussian,ternary|row|float|nearest|absmean|ste=identity,ternary,1.58,row,float,0.51355
gaussian,ternary|row|pow2/ceil|nearest|absmean|ste=identity,ternary,1.58,row,pow2/ceil,0.457489
gaussian,ternary|block64|float|nearest|absmean|ste=identity,ternary,1.58,block64,float,0.509197
gaussian,ternary|block64|pow2/ceil|nearest|absmean|ste=identity,ternary,1.58,block64,pow2/ceil,0.457419
outlier_channels,int8|tensor|float|nearest|absmax|ste=identity,int,8,tensor,float,0.113779
outlier_channels,int8|tensor|pow2/ceil|nearest|absmax|ste=identity,int,8,tensor,pow2/ceil,0.20602
outlier_channels,int8|tensor|pow2/round|nearest|absmax|ste=identity,int,8,tensor,pow2/round,0.103685
outlier_channels,int8|tensor|dyadic/m2|nearest|absmax|ste=identity,int,8,tensor,dyadic/m2,0.103685
