spectrum,kappa,bits,mode,grad_bits,seed,lr,steps,delta,rel_gap,best_rel_gap,passed_gate,w_err_inf,err_in_grid_steps,frozen_frac_tail,freeze_law_violations,shadow_sat_frac_max,threads,seconds
logspace,100.0,10,rtn,,1,0.019801980198019802,3000,0.015655577299412915,0.0006319427446641751,0.0006319427446641751,True,0.16792911291122437,10.726472087204456,0.32899999999999996,0,0.0,4,4.87
logspace,100.0,10,rtn,,2,0.019801980198019802,3000,0.015655577299412915,0.0006319427446641751,0.0006319427446641751,True,0.16792911291122437,10.726472087204456,0.32899999999999996,0,0.0,4,4.48
logspace,100.0,10,sr,,0,0.019801980198019802,3000,0.015655577299412915,0.00012184610281167505,7.315691478705394e-05,True,0.04551982879638672,2.9075790643692017,0.67647,,0.0,4,5.26
logspace,100.0,10,sr,,1,0.019801980198019802,3000,0.015655577299412915,0.00011958017002333778,7.78723373271935e-05,True,0.053211331367492676,3.3988737910985947,0.6773600000000001,,0.0,4,5.11
logspace,100.0,10,sr,,2,0.019801980198019802,3000,0.015655577299412915,9.487791008567425e-05,7.448530188379523e-05,True,0.050781428813934326,3.243663765490055,0.656965,,0.0,4,5.46
logspace,100.0,10,ef,,0,0.019801980198019802,3000,0.015655577299412915,0.00015279525962473187,9.548625531069847e-05,True,0.025265373289585114,1.6138257188722491,0.42789,,0.0,4,5.75
logspace,100.0,10,ef,,1,0.019801980198019802,3000,0.015655577299412915,0.00015279525962473187,9.548625531069847e-05,True,0.025265373289585114,1.6138257188722491,0.42789,,0.0,4,5.86
logspace,100.0,10,ef,,2,0.019801980198019802,3000,0.015655577299412915,0.00015279525962473187,9.548625531069847e-05,True,0.025265373289585114,1.6138257188722491,0.42789,,0.0,4,5.65
logspace,100.0,8,rtn,,0,0.019801980198019802,3000,0.06299212598425197,0.004020044433997135,0.004020044433997135,False,0.4307708740234375,6.83848762512207,0.565,0,0.0,4,4.59
logspace,100.0,8,rtn,,1,0.019801980198019802,3000,0.06299212598425197,0.004020044433997135,0.004020044433997135,False,0.4307708740234375,6.83848762512207,0.565,0,0.0,4,4.53
logspace,100.0,8,rtn,,2,0.019801980198019802,3000,0.06299212598425197,0.004020044433997135,0.004020044433997135,False,0.4307708740234375,6.83848762512207,0.565,0,0.0,4,4.67
logspace,100.0,8,sr,,0,0.019801980198019802,3000,0.06299212598425197,0.0016554668363291285,0.0012731905141235406,False,0.2376159131526947,3.7721526212990284,0.691905,,0.0,4,5.14
logspace,100.0,8,sr,,1,0.019801980198019802,3000,0.06299212598425197,0.001462957971401324,0.0012540465554464596,False,0.21545790135860443,3.4203941840678453,0.68081,,0.0,4,5.33
logspace,100.0,8,sr,,2,0.019801980198019802,3000,0.06299212598425197,0.0016926076804445651,0.0011547276389261341,False,0.2231994867324829,3.543291851878166,0.691865,,0.0,4,4.93
logspace,100.0,8,ef,,0,0.019801980198019802,3000,0.06299212598425197,0.0016490379259159716,0.0016118383706368719,False,0.08938171714544296,1.418934759683907,0.46279000000000003,,0.0,4,5.51
logspace,100.0,8,ef,,1,0.019801980198019802,3000,0.06299212598425197,0.0016490379259159716,0.0016118383706368719,False,0.08938171714544296,1.418934759683907,0.46279000000000003,,0.0,4,5.67
logspace,100.0,8,ef,,2,0.019801980198019802,3000,0.06299212598425197,0.0016490379259159716,0.0016118383706368719,False,0.08938171714544296,1.418934759683907,0.46279000000000003,,0.0,4,5.53
logspace,100.0,4,rtn,,0,0.019801980198019802,3000,1.1428571428571428,0.1944781595106022,0.1944781595106022,False,2.322375774383545,2.032078802585602,1.0,0,0.0,4,4.68
logspace,100.0,4,rtn,,1,0.019801980198019802,3000,1.1428571428571428,0.1944781595106022,0.1944781595106022,False,2.322375774383545,2.032078802585602,1.0,0,0.0,4,4.87
logspace,100.0,4,rtn,,2,0.019801980198019802,3000,1.1428571428571428,0.1944781595106022,0.1944781595106022,False,2.322375774383545,2.032078802585602,1.0,0,0.0,4,4.58
logspace,100.0,4,sr,,0,0.019801980198019802,3000,1.1428571428571428,0.5129191482226906,0.38635869538678974,False,3.9726827144622803,3.4760973751544952,0.68975,,0.0,4,5.02
logspace,100.0,4,sr,,1,0.019801980198019802,3000,1.1428571428571428,0.5161044734452944,0.40467656542062264,False,3.5166971683502197,3.0771100223064423,0.6829949999999999,,0.0,4,5.09
logspace,100.0,4,sr,,2,0.019801980198019802,3000,1.1428571428571428,0.46767068767517106,0.40453136286234564,False,3.2773499488830566,2.8676812052726746,0.690345,,0.0,4,4.94
logspace,100.0,4,ef,,0,0.019801980198019802,3000,1.1428571428571428,0.8341924205032301,0.42800712494161475,False,1.5784300565719604,1.3811262995004654,0.44957500000000006,,0.0,4,6.22
logspace,100.0,4,ef,,1,0.019801980198019802,3000,1.1428571428571428,0.8341924205032301,0.42800712494161475,False,1.5784300565719604,1.3811262995004654,0.44957500000000006,,0.0,4,6.0
